Temperature_C,Humidity_Percent,Rainfall_mm,Soil_Nitrogen_Level,Disease_Risk
29.2,22.0,55.0,22.3,0
30.3,91.4,17.4,42.2,1
16.6,60.4,5.3,19.9,0
26.3,37.6,117.9,80.9,1
34.2,75.9,68.1,15.5,1
20.1,27.4,19.3,84.7,0
34.2,78.4,107.2,97.3,1
26.6,86.4,123.7,86.2,1
31.1,23.7,45.6,28.9,1
17.0,28.1,55.6,63.6,0
21.1,36.8,53.4,93.7,0
28.3,33.7,145.8,16.3,1
39.7,71.2,111.4,68.5,0
33.3,38.3,6.4,31.5,1
16.3,95.4,175.3,31.5,1
21.9,93.2,91.8,26.5,1
26.8,41.0,116.9,89.8,0
16.6,99.8,101.9,9.1,1
13.3,70.2,158.4,42.2,1
21.4,99.7,105.8,97.1,0
10.3,77.7,136.3,53.7,1
29.2,28.9,87.0,45.4,0
36.3,41.1,100.1,17.9,0
36.1,43.9,127.8,60.9,1
32.9,63.2,155.7,53.0,1
19.7,21.6,185.8,87.9,0
19.2,24.6,175.6,94.7,1
24.6,25.5,152.1,76.6,1
24.3,64.0,53.0,87.2,0
16.4,63.1,146.0,20.1,1
39.9,72.0,87.6,51.8,1
16.7,47.0,117.7,23.0,1
12.1,70.5,45.8,90.5,0
12.1,39.0,133.8,21.4,1
38.1,65.7,94.5,78.5,0
15.7,27.8,86.2,42.4,0
31.9,73.9,196.8,9.8,1
20.2,88.9,49.7,19.0,1
22.7,42.3,50.0,92.3,0
35.8,64.0,10.1,99.9,0
39.1,94.1,169.7,16.6,1
16.4,52.1,11.7,37.9,0
18.0,82.7,91.0,42.3,0
39.9,64.5,143.7,15.5,1
39.1,66.3,108.4,74.8,1
27.5,60.2,170.5,15.7,1
12.4,34.9,119.0,67.5,0
13.6,91.2,49.2,59.5,1
22.6,66.7,104.6,93.5,1
31.5,39.1,79.2,67.2,0
19.5,80.1,14.5,45.8,0
39.9,25.9,42.6,26.5,0
36.4,90.3,73.9,15.8,1
31.1,68.9,197.4,65.4,1
34.5,44.0,132.7,93.9,1
13.5,28.6,110.6,27.2,0
31.5,36.3,126.8,26.4,1
37.2,87.7,18.5,42.4,1
10.1,81.7,127.4,26.2,1
26.6,54.2,1.9,7.5,0
37.1,63.6,166.9,58.3,1
13.8,44.7,179.8,79.6,0
37.0,36.8,49.9,10.3,0
36.5,52.5,124.1,15.5,1
35.9,98.1,162.2,88.1,1
32.1,46.6,186.2,80.2,0
34.3,41.3,157.5,10.8,1
35.8,37.8,163.3,46.0,1
33.9,38.2,4.7,19.3,1
35.9,97.4,55.8,64.1,1
39.4,62.9,187.8,11.5,1
15.4,97.0,53.1,10.8,1
31.9,45.1,121.2,51.1,1
27.3,40.4,141.8,0.2,1
26.2,77.6,148.4,67.1,1
12.1,73.1,66.0,31.4,0
31.6,44.0,61.9,40.8,1
18.9,30.2,84.1,94.0,0
37.1,69.2,60.2,54.8,1
18.6,54.4,116.0,65.5,1
23.3,37.1,94.6,90.1,0
15.1,26.8,103.1,63.3,0
34.6,80.1,134.6,22.5,1
10.7,39.6,95.0,85.0,1
22.4,70.4,38.9,69.6,0
17.3,72.5,1.1,75.1,0
13.2,54.0,35.2,95.8,0
11.5,39.9,169.7,45.6,0
30.0,99.0,119.1,95.0,0
28.4,77.5,101.0,83.1,1
36.9,79.5,94.9,25.9,1
29.1,81.3,104.3,62.7,1
12.3,42.9,54.3,32.0,0
14.2,38.5,138.8,70.6,1
22.2,63.4,83.2,20.7,1
37.1,66.7,139.1,85.7,0
21.4,20.5,70.4,75.3,0
38.6,53.5,149.5,54.6,1
16.6,37.6,87.2,2.9,1
30.4,52.3,33.0,46.7,1
28.7,22.2,78.8,56.4,1
29.3,30.9,92.3,5.0,1
16.3,46.1,152.2,37.9,1
35.0,40.2,16.4,1.9,1
40.0,48.0,130.0,78.1,0
32.6,96.0,39.9,2.0,1
13.8,73.6,112.8,21.8,1
33.0,33.4,121.4,74.8,1
34.6,97.2,21.6,2.6,1
30.3,96.7,79.3,71.5,1
30.7,70.2,20.4,77.2,0
28.0,29.7,196.8,78.3,1
22.9,49.6,101.2,34.1,0
34.7,28.4,192.2,63.6,0
31.2,54.8,146.8,96.5,1
34.2,63.1,96.7,43.6,1
18.1,88.1,166.1,8.7,1
17.3,57.2,122.1,37.9,1
35.5,34.5,42.4,79.8,0
36.4,76.1,55.3,1.0,1
12.6,77.6,97.7,75.8,0
29.4,59.3,158.6,9.3,1
30.8,44.5,116.3,47.3,1
22.8,79.7,66.2,70.3,1
17.5,29.7,38.5,12.0,0
32.9,34.8,43.3,48.4,0
39.3,62.0,56.6,10.1,1
16.8,34.4,2.8,53.4,0
39.2,64.3,139.5,12.6,1
24.7,89.8,114.8,46.9,1
15.5,24.1,188.2,47.8,0
22.0,25.9,125.9,5.4,1
26.9,44.3,198.8,11.8,1
28.2,83.3,45.1,52.3,1
23.3,88.8,198.0,30.5,1
28.3,79.2,189.5,20.8,1
29.8,32.6,34.8,7.5,1
23.5,67.5,58.3,23.1,1
31.1,56.3,137.5,92.4,0
28.8,72.9,186.7,42.5,1
29.4,92.7,165.3,7.1,1
19.2,79.9,113.8,28.9,1
30.7,76.0,188.5,50.0,1
12.4,23.2,86.4,32.2,1
12.7,97.0,167.2,57.5,1
40.0,73.8,53.9,4.0,1
24.1,72.1,183.2,18.1,1
29.0,59.3,18.2,34.8,1
30.1,88.6,66.0,69.4,1
38.4,85.1,110.0,45.5,1
19.7,97.6,80.8,51.5,0
29.7,63.4,82.6,18.8,1
32.7,70.0,152.0,20.4,1
37.8,55.0,139.7,12.1,1
28.3,39.1,31.7,55.1,0
12.8,99.4,182.6,46.1,1
35.0,59.9,143.3,50.9,1
35.0,98.4,48.7,55.1,1
37.7,60.7,175.9,86.4,1
33.7,53.2,186.8,50.8,1
18.5,43.9,117.4,99.9,0
14.5,63.1,69.0,55.2,0
23.7,45.7,37.7,69.7,0
17.0,82.0,8.7,74.5,0
34.3,50.9,132.7,82.1,0
24.9,23.0,100.5,59.0,0
36.2,55.2,105.2,45.7,1
22.3,72.4,30.9,46.9,0
20.2,75.4,130.0,85.2,0
35.8,50.4,63.3,71.9,0
36.2,22.9,13.7,63.1,0
39.9,79.7,86.8,9.8,1
36.2,55.5,138.8,90.3,1
33.9,43.5,75.0,14.6,1
27.0,83.4,34.0,7.9,1
28.6,39.3,182.6,14.3,1
17.6,40.4,1.9,80.5,0
30.3,32.6,88.3,34.6,1
29.2,53.9,50.0,84.5,0
21.5,58.7,47.4,57.2,0
39.8,43.6,195.6,65.8,1
27.0,74.9,148.9,4.9,1
24.9,92.3,57.2,79.9,1
20.6,70.9,124.2,67.8,1
29.8,87.1,125.6,90.3,1
19.3,55.3,115.9,73.2,1
18.9,79.8,35.1,13.2,1
39.1,62.5,182.7,83.0,1
34.7,58.5,161.3,74.7,1
13.5,97.0,28.2,96.7,0
31.7,98.4,193.5,80.5,1
33.7,21.1,107.3,45.5,0
30.2,66.8,164.5,94.0,1
17.0,22.0,176.8,56.1,0
16.6,25.1,164.8,90.9,0
22.2,31.2,189.3,30.4,1
12.9,91.0,27.1,45.4,1
32.3,95.7,83.8,74.2,1
22.4,27.9,97.9,40.8,0
11.0,49.6,88.7,95.1,0
13.0,74.9,108.9,97.8,0
21.9,35.2,24.4,84.8,0
29.9,71.3,119.4,2.1,1
17.3,30.1,112.9,6.9,1
16.2,37.3,173.9,32.9,1
37.0,20.2,171.7,14.5,1
17.5,34.0,132.2,2.6,1
33.7,39.0,64.8,17.4,1
32.3,62.1,149.1,47.6,1
25.4,28.7,100.8,94.5,1
33.5,89.4,104.3,45.8,0
11.8,58.3,80.3,68.6,0
37.3,25.9,16.2,60.8,1
18.3,70.6,109.7,32.5,0
25.9,56.3,121.1,9.9,1
35.6,72.1,153.8,72.1,1
23.5,38.3,67.8,45.3,0
12.9,54.1,133.0,37.4,1
37.7,25.4,166.4,9.3,1
32.2,84.9,111.3,58.6,1
19.9,29.8,70.7,66.5,0
36.0,77.7,193.7,60.0,1
27.3,37.0,131.3,22.4,1
35.4,49.4,152.5,57.4,1
35.4,98.0,163.7,61.4,1
10.8,94.3,165.9,26.7,1
31.1,44.7,68.0,0.6,1
27.0,52.1,28.4,63.3,1
32.4,37.2,84.0,34.1,1
31.6,82.1,113.5,8.5,1
14.7,69.4,134.8,27.2,1
24.6,55.4,54.6,75.5,1
22.9,42.7,135.7,48.7,1
11.4,51.6,119.9,0.8,1
16.3,31.0,51.1,32.8,1
32.4,34.1,76.0,70.4,0
35.0,84.5,14.4,86.2,1
10.6,93.7,172.4,57.6,1
31.3,53.4,23.0,2.1,1
34.0,69.5,166.4,92.0,1
35.3,39.5,117.8,52.4,1
19.3,47.2,66.6,16.8,1
13.4,60.8,181.2,34.9,1
34.6,85.2,47.3,14.6,1
28.1,80.8,131.1,17.7,1
24.8,80.4,152.0,44.9,1
26.9,70.8,124.9,86.4,1
14.5,25.5,88.4,30.3,1
11.7,60.6,62.1,45.2,1
35.0,26.1,172.9,85.5,0
25.2,57.0,110.9,79.2,0
23.5,84.8,130.4,32.2,1
14.5,24.9,20.7,89.9,0
31.4,60.4,34.5,24.8,1
23.2,61.8,31.7,37.3,1
22.3,47.1,119.6,78.9,0
12.0,27.6,135.7,28.4,0
29.7,92.5,174.7,33.3,1
14.2,48.0,193.5,69.8,1
27.9,95.0,61.9,37.7,1
34.4,73.6,165.8,73.9,1
25.8,71.7,84.7,36.2,1
15.4,37.1,189.5,48.6,1
14.1,26.2,168.9,10.1,1
35.1,90.7,7.5,33.7,1
13.9,50.1,32.4,83.1,0
34.3,33.2,87.5,41.1,0
17.1,55.5,57.0,74.9,0
26.0,44.8,161.7,46.9,1
21.0,95.8,196.9,46.2,1
21.5,62.2,193.3,81.7,1
14.2,40.0,128.2,87.4,0
13.1,87.7,170.2,28.5,1
18.2,92.4,29.5,43.7,0
16.7,56.1,69.9,2.7,1
25.1,38.9,198.9,37.5,1
37.9,87.1,130.0,79.1,1
18.6,86.4,139.2,13.9,1
23.5,20.4,15.8,25.6,0
26.5,78.2,105.6,11.1,1
19.0,23.8,84.0,79.4,0
13.3,92.4,119.3,1.6,1
17.3,31.5,85.8,61.5,0
22.5,73.1,17.1,97.5,1
25.8,60.6,197.7,55.4,1
24.1,70.9,196.2,25.4,1
33.7,47.6,146.6,62.8,0
32.1,46.6,8.9,54.6,0
15.3,82.3,92.9,69.5,1
34.3,25.0,155.2,45.8,1
11.3,36.0,8.4,93.3,0
39.7,63.4,50.7,75.3,1
20.7,82.5,173.2,33.2,1
21.0,91.2,148.7,89.5,1
39.2,59.7,99.5,92.4,0
34.0,78.2,15.8,60.2,0
26.4,45.7,16.0,66.1,0
28.1,54.1,138.0,35.2,1
36.1,48.2,199.6,27.5,1
38.4,26.0,127.5,36.3,0
30.4,96.2,28.6,60.8,0
11.0,25.4,155.7,36.6,1
27.0,68.4,135.8,94.9,1
32.9,65.9,105.9,39.8,1
17.5,29.1,147.1,49.9,1
26.9,40.9,52.1,44.6,0
18.6,93.3,98.2,12.3,1
23.6,91.9,89.0,8.8,1
35.4,45.6,69.5,6.5,1
