Soil_Moisture_Percent,Germinated
62.5,1
29.8,0
71.3,1
85.3,1
43.0,1
24.7,0
7.4,0
63.5,1
24.8,0
77.8,1
77.5,1
35.6,1
91.1,1
13.3,0
81.3,1
77.6,1
53.3,0
39.1,0
79.6,1
82.6,1
68.4,1
25.5,0
12.2,0
14.1,0
62.2,1
38.3,1
29.0,0
63.3,1
20.4,0
19.7,0
94.1,1
55.1,1
80.9,1
25.6,1
33.4,0
24.0,0
83.9,1
64.0,1
87.3,1
28.8,0
55.5,1
57.6,1
40.9,1
94.8,1
13.2,0
14.9,0
76.3,1
10.7,0
94.7,1
92.4,1
6.0,0
66.4,1
29.0,0
15.0,0
45.8,0
83.8,1
50.1,1
87.1,1
31.9,0
59.8,1
73.6,1
75.1,1
5.1,0
6.8,0
84.1,1
32.7,1
84.0,1
12.7,0
11.2,0
73.9,1
47.8,1
28.9,0
43.1,1
53.5,1
23.1,0
94.6,1
44.4,1
15.9,0
35.4,0
25.7,0
11.4,0
25.6,0
82.4,1
26.4,0
24.3,0
89.2,1
47.5,0
77.7,1
13.7,0
43.1,1
70.6,1
93.6,1
41.2,1
82.6,1
22.1,0
43.0,1
27.5,0
44.9,0
54.5,1
94.9,1
92.2,1
81.4,1
48.7,1
41.1,1
39.1,0
28.9,0
46.0,1
91.2,1
55.0,1
18.9,0
92.2,1
53.8,1
10.1,0
50.3,0
19.2,0
12.2,0
58.6,1
26.2,0
85.1,1
58.5,1
42.7,0
52.1,0
23.4,0
26.5,0
65.5,1
33.5,0
11.5,0
94.9,1
11.6,0
28.9,0
84.3,1
38.3,1
80.0,1
60.1,0
63.9,1
78.5,1
64.7,1
17.1,0
14.6,0
29.5,0
69.6,1
62.1,1
49.0,0
81.1,1
43.1,1
5.3,0
62.3,1
71.7,1
43.5,1
11.8,0
86.4,1
80.1,1
18.3,0
32.7,0
76.7,1
85.9,1
27.5,0
75.2,1
41.6,0
18.9,0
82.8,1
78.0,1
7.2,0
34.9,0
77.2,1
78.0,1
75.9,1
83.5,1
25.0,0
46.4,1
76.6,1
7.1,0
34.5,0
92.0,1
62.7,1
93.3,1
89.5,1
92.3,1
91.6,1
14.8,0
70.6,1
59.6,1
39.7,0
27.9,0
5.2,0
53.5,1
71.8,1
37.8,1
64.8,1
33.3,0
69.8,1
32.8,0
41.2,1
16.5,0
89.6,1
86.3,1
32.1,0
5.0,0
43.7,0
63.9,1
44.8,1
47.6,0
76.6,1
12.6,0
62.0,1
78.7,1
65.6,1
