Tray_ID,Soil_Moisture_Percent,Germination_Rate_Percent
T001,39.4,83.2
T002,25.1,23.7
T003,23.5,30.8
T004,46.9,89.5
T005,72.9,51.5
T006,19.7,19.1
T007,13.7,34.0
T008,71.8,56.9
T009,24.5,31.5
T010,48.4,86.6
T011,71.2,51.3
T012,36.6,68.9
T013,51.6,73.1
T014,24.8,36.4
T015,47.8,87.5
T016,36.1,80.2
T017,78.6,50.0
T018,53.1,84.9
T019,46.0,85.7
T020,42.2,89.7
T021,52.7,84.2
T022,78.3,63.2
T023,77.1,44.8
T024,54.9,87.5
T025,51.2,87.4
T026,75.1,56.8
T027,11.9,25.7
T028,76.0,53.8
T029,46.2,82.2
T030,27.2,29.7
T031,24.0,29.3
T032,40.8,89.9
T033,20.7,31.6
T034,74.9,61.0
T035,29.2,30.5
T036,48.9,84.9
T037,55.8,87.7
T038,38.4,91.7
T039,17.6,24.7
T040,43.4,81.5
T041,77.4,40.8
T042,54.7,77.8
T043,79.5,31.9
T044,28.4,13.8
T045,50.1,84.0
T046,73.3,53.4
T047,22.6,18.9
T048,79.2,49.8
T049,46.0,90.1
T050,79.0,43.2
T051,13.5,15.8
T052,14.7,33.8
T053,39.0,85.4
T054,87.7,43.4
T055,65.5,49.3
T056,49.0,79.6
T057,39.8,93.7
T058,66.4,40.7
T059,17.2,24.3
T060,86.2,54.7
T061,58.1,85.9
T062,83.2,32.8
T063,44.6,81.8
T064,25.3,34.6
T065,21.5,22.3
T066,74.7,57.3
T067,25.2,29.7
T068,18.7,40.0
T069,20.9,25.8
T070,17.3,26.5
T071,78.0,53.1
T072,68.4,53.8
T073,72.3,54.9
T074,60.4,48.3
T075,52.3,87.2
T076,42.7,87.8
T077,19.8,21.3
T078,79.4,41.1
T079,75.4,48.1
T080,19.4,36.5
T081,27.6,31.0
T082,20.3,27.3
T083,24.1,17.6
T084,18.0,29.7
T085,68.9,41.0
T086,47.7,90.9
T087,53.9,76.4
T088,48.8,87.9
T089,24.6,23.5
T090,49.9,87.3
T091,73.7,59.2
T092,55.1,81.3
T093,22.2,37.1
T094,53.2,89.2
T095,24.5,27.6
T096,73.6,63.5
T097,50.0,83.1
T098,18.9,22.8
T099,72.3,56.7
T100,23.5,27.7
