Tray_ID,Soil_Moisture_Percent,Germination_Rate_Percent,Dist_C1,Dist_C2,Dist_C3,Assigned_Cluster
T001,39.4,83.2,34.79,48.62,18.97,C3
T002,25.1,23.7,26.50,48.94,64.87,C1
T003,23.5,30.8,19.97,47.84,59.77,C1
T004,46.9,89.5,43.29,49.95,14.90,C3
T005,72.9,51.5,43.32,7.61,31.78,C2
T006,19.7,19.1,32.27,55.82,71.61,C1
T007,13.7,34.0,22.43,56.59,63.58,C1
T008,71.8,56.9,42.78,12.35,26.54,C2
T009,24.5,31.5,19.01,46.68,58.62,C1
T010,48.4,86.6,41.31,46.69,11.91,C3
T011,71.2,51.3,41.62,6.77,31.20,C2
T012,36.6,68.9,20.33,40.56,23.94,C1
T013,51.6,73.1,32.03,33.33,9.13,C3
T014,24.8,36.4,14.25,45.23,54.49,C1
T015,47.8,87.5,41.85,47.76,12.93,C3
T016,36.1,80.2,31.07,48.48,21.94,C3
T017,78.6,50.0,48.99,10.69,36.04,C2
T018,53.1,84.9,42.22,43.21,7.25,C3
T019,46.0,85.7,39.45,47.02,13.49,C3
T020,42.2,89.7,41.83,52.40,18.78,C3
T021,52.7,84.2,41.42,42.71,7.05,C3
T022,78.3,63.2,50.50,20.49,26.07,C2
T023,77.1,44.8,47.76,7.86,39.67,C2
T024,54.9,87.5,45.39,45.02,8.51,C3
T025,51.2,87.4,43.35,46.24,10.38,C3
T026,75.1,56.8,46.03,13.33,28.47,C2
T027,11.9,25.7,29.92,60.45,70.93,C1
T028,76.0,53.8,46.56,11.24,31.43,C2
T029,46.2,82.2,36.39,43.91,12.11,C3
T030,27.2,29.7,20.26,44.68,58.64,C1
T031,24.0,29.3,21.27,47.83,60.72,C1
T032,40.8,89.9,41.62,53.30,20.08,C3
T033,20.7,31.6,20.28,50.31,60.79,C1
T034,74.9,61.0,46.65,17.14,25.10,C2
T035,29.2,30.5,19.32,42.53,56.93,C1
T036,48.9,84.9,40.04,44.95,10.56,C3
T037,55.8,87.7,46.06,44.94,8.41,C3
T038,38.4,91.7,42.80,56.11,23.06,C3
T039,17.6,24.7,27.84,55.42,68.17,C1
T040,43.4,81.5,34.56,44.87,14.75,C3
T041,77.4,40.8,48.63,9.09,43.36,C2
T042,54.7,77.8,37.59,36.04,3.78,C3
T043,79.5,31.9,53.01,16.50,52.30,C2
T044,28.4,13.8,36.03,51.29,72.15,C1
T045,50.1,84.0,39.86,43.61,9.07,C3
T046,73.3,53.4,43.84,9.49,30.31,C2
T047,22.6,18.9,31.70,53.36,70.27,C1
T048,79.2,49.8,49.59,11.13,36.54,C2
T049,46.0,90.1,43.49,50.90,15.97,C3
T050,79.0,43.2,49.83,9.89,42.00,C2
T051,13.5,15.8,37.64,62.85,77.79,C1
T052,14.7,33.8,21.88,55.65,63.04,C1
T053,39.0,85.4,36.80,50.61,19.90,C3
T054,87.7,43.4,58.45,18.51,46.80,C2
T055,65.5,49.3,35.90,5.84,31.19,C2
T056,49.0,79.6,35.54,40.24,9.03,C3
T057,39.8,93.7,45.05,57.06,23.05,C3
T058,66.4,40.7,37.90,5.01,39.78,C2
T059,17.2,24.3,28.37,55.94,68.73,C1
T060,86.2,54.7,56.80,19.62,37.59,C2
T061,58.1,85.9,45.98,42.56,6.31,C3
T062,83.2,32.8,56.23,18.42,53.13,C2
T063,44.6,81.8,35.33,44.44,13.61,C3
T064,25.3,34.6,15.81,45.12,55.63,C1
T065,21.5,22.3,28.68,52.79,67.94,C1
T066,74.7,57.3,45.71,13.62,27.83,C2
T067,25.2,29.7,20.59,46.57,59.72,C1
T068,18.7,40.0,14.67,50.77,55.80,C1
T069,20.9,25.8,25.54,51.95,65.36,C1
T070,17.3,26.5,26.36,55.08,66.91,C1
T071,78.0,53.1,48.50,12.05,33.17,C2
T072,68.4,53.8,39.00,9.02,27.79,C2
T073,72.3,54.9,42.99,10.53,28.52,C2
T074,60.4,48.3,30.83,9.50,31.38,C2
T075,52.3,87.2,43.73,45.64,9.53,C3
T076,42.7,87.8,40.18,50.51,17.39,C3
T077,19.8,21.3,30.15,54.75,69.70,C1
T078,79.4,41.1,50.55,10.82,44.02,C2
T079,75.4,48.1,45.82,6.98,35.96,C2
T080,19.4,36.5,16.78,50.53,57.87,C1
T081,27.6,31.0,18.92,43.88,57.33,C1
T082,20.3,27.3,24.36,51.98,64.48,C1
T083,24.1,17.6,32.68,52.72,70.66,C1
T084,18.0,29.7,23.22,53.43,63.96,C1
T085,68.9,41.0,40.27,3.84,40.09,C2
T086,47.7,90.9,44.89,50.87,15.32,C3
T087,53.9,76.4,36.01,35.11,5.21,C3
T088,48.8,87.9,42.65,47.68,12.42,C3
T089,24.6,23.5,26.79,49.47,65.29,C1
T090,49.9,87.3,42.63,46.68,11.21,C3
T091,73.7,59.2,45.08,15.05,25.71,C2
T092,55.1,81.3,40.51,39.12,3.39,C3
T093,22.2,37.1,14.71,47.67,55.58,C1
T094,53.2,89.2,45.91,47.19,10.76,C3
T095,24.5,27.6,22.79,47.94,61.86,C1
T096,73.6,63.5,46.07,19.18,22.39,C2
T097,50.0,83.1,39.04,42.84,8.76,C3
T098,18.9,22.8,29.06,54.95,68.96,C1
T099,72.3,56.7,43.24,12.27,26.97,C2
T100,23.5,27.7,22.94,48.84,62.32,C1
